im_name_list,im_ref_id_list,slide_num,brain_num
3534_whole_s4_b5_408_488_594_123.nd2,242.0,4,5
3534_whole_s1_b3_408_488_594_097.nd2,243.0,1,3
3534_whole_s6_b3_408_488_594_137.nd2,244.0,6,3
3534_whole_s5_b4_408_488_594_130.nd2,245.0,5,4
3534_whole_s2_b6_408_488_594_111.nd2,246.0,2,6
3534_whole_s2_b2_408_488_594_107.nd2,247.0,2,2
3534_whole_s6_b6_408_488_594_140.nd2,248.0,6,6
3534_whole_s5_b6_408_488_594_132.nd2,249.0,5,6
3534_whole_s3_b4_408_488_594_117.nd2,250.0,3,4
3534_whole_s1_b11_408_488_594_105.nd2,251.0,1,11
3534_whole_s3_b2_408_488_594_115.nd2,252.0,3,2
3534_whole_s1_b4_408_488_594_098.nd2,253.0,1,4
3534_whole_s3_b5_408_488_594_118.nd2,254.0,3,5
3534_whole_s4_b8_408_488_594_126.nd2,255.0,4,8
3534_whole_s2_b4_408_488_594_109.nd2,256.0,2,4
3534_whole_s5_b2_408_488_594_128.nd2,257.0,5,2
3534_whole_s4_b4_408_488_594_122.nd2,258.0,4,4
3534_whole_s3_b3_408_488_594_116.nd2,259.0,3,3
3534_whole_s4_b6_408_488_594_124.nd2,260.0,4,6
3534_whole_s4_b7_408_488_594_125.nd2,261.0,4,7
3534_whole_s1_b6_408_488_594_100.nd2,262.0,1,6
3534_whole_s2_b8_408_488_594_113.nd2,263.0,2,8
3534_whole_s5_b1_408_488_594_127.nd2,264.0,5,1
3534_whole_s2_b7_408_488_594_112.nd2,265.0,2,7
3534_whole_s6_b1_408_488_594_135.nd2,266.0,6,1
3534_whole_s5_b5_408_488_594_131.nd2,267.0,5,5
3534_whole_s4_b1_408_488_594_119.nd2,268.0,4,1
3534_whole_s1_b10_408_488_594_104.nd2,269.0,1,10
3534_whole_s5_b3_408_488_594_129.nd2,270.0,5,3
3534_whole_s5_b8_408_488_594_134.nd2,271.0,5,8
3534_whole_s1_b1_408_488_594_095.nd2,272.0,1,1
3534_whole_s2_b3_408_488_594_108.nd2,273.0,2,3
3534_whole_s4_b2_408_488_594_120.nd2,274.0,4,2
3534_whole_s2_b5_408_488_594_110.nd2,275.0,2,5
3534_whole_s4_b3_408_488_594_121.nd2,276.0,4,3
3534_whole_s1_b2_408_488_594_096.nd2,277.0,1,2
3534_whole_s6_b2_408_488_594_136.nd2,278.0,6,2
3534_whole_s1_b7_408_488_594_101.nd2,279.0,1,7
3534_whole_s2_b1_408_488_594_106.nd2,280.0,2,1
3534_whole_s5_b7_408_488_594_133.nd2,281.0,5,7
3534_whole_s6_b4_408_488_594_138.nd2,282.0,6,4
3534_whole_s3_b1_408_488_594_114.nd2,283.0,3,1
3534_whole_s1_b5_408_488_594_099.nd2,284.0,1,5
3534_whole_s1_b9_408_488_594_103.nd2,285.0,1,9
3534_whole_s1_b8_408_488_594_102.nd2,286.0,1,8
3534_whole_s6_b5_408_488_594_139.nd2,287.0,6,5
